Word, Frequency
struggling, 11
Bal-macheve!", 1
laughed,, 10
l'offenser., 1
sayings...", 1
laughed., 21
count;, 2
evil;, 1
E'en, 1
confide, 3
philosophic--we, 1
batteries,, 1
individual, 17
cleanest, 2
visit--a, 1
jesting, 5
challenging,, 1
self-, 16
unsatisfactory, 2
self,, 3
"Here,, 7
manservant, 2
self., 1
"Here., 1
credit,, 3
reaction., 2
yourselves?", 1
Russian!", 2
latrines., 1
avenues, 1
get?, 1
stoppage, 1
credit!, 1
on--, 1
imperturbable, 3
Wherever, 2
apart,", 1
Man, 4
beast--ran, 1
burn,, 3
crown--but, 1
virtues--activity, 1
subjects.", 1
truth--science--, 1
on,", 8
permanent, 2
gossips!", 1
familiar., 2
familiar,, 5
eccentric, 1
disappointment, 1
Looking, 10
subjects.', 1
May, 16
"Rugay,, 3
lining, 1
begrudge, 1
besides, 40
manners', 1
gets, 16
old-fashioned, 5
urging, 10
manners,, 1
dispositions!", 1
manners., 1
luring, 3
jails, 1
soften?..., 1
indistinct,, 2
semiopen, 1
on.", 4
reasoning--and, 1
opportunity, 30
discussed, 15
Petya!", 2
manners!, 1
why--the, 1
animate, 1
eighteen, 9
anyone!", 1
sacked, 1
number;, 1
spluttering, 1
Kiev--all, 1
"Demosthenes,, 1
delegation, 1
NOT, 2
number,, 4
earth.", 1
fire--we'll, 1
patronizing, 4
smart., 1
smart,, 2
number., 1
hand--he, 1
reputations., 1
house--let, 1
bridled, 1
thirty,", 1
bridles, 1
brawler,, 1
severely, 10
over...., 1
signal!", 1
realizes, 1
musketeer, 1
downcast, 13
sunlight,, 2
soiree, 1
salutary, 1
bushy, 6
SUCH, 1
sunlight., 1
over...", 1
conflict, 15
lover-like., 1
couple,, 4
couple., 4
realized, 39
sideways, 6
Adonai, 1
Temple,, 1
wife--with, 1
Nous, 1
Afraid, 1
'This, 1
Mon, 3
Now,, 7
onto?", 1
hindrances, 1
composing, 2
cases--that, 1
numbers, 11
streams;, 1
denying, 1
reharnessed., 1
scoundwels..., 1
firing,", 1
haired,, 1
"Another, 7
occupation,, 5
occupation., 4
discontinuous, 2
whiskers,, 2
bridle,, 1
sevenths, 1
longer., 3
complicated;, 1
streams., 1
Note, 2
tooth,, 2
eventually, 3
longer,, 11
her!', 1
swaggerer., 1
"Maybe, 1
founders., 1
"Board, 2
Austerlitz--takes, 1
longer?, 2
confirm, 9
Temple., 2
her!", 13
altercation, 1
Lorrain, 6
wrathful, 2
Demkin, 1
corrected, 7
considerations., 2
quality,, 1
pushing, 27
Platov's, 6
considerations,, 3
Ostermann,, 1
endurance--acknowledged, 1
impropriety, 2
Ostermann-, 1
confine, 1
officials,, 6
will--which, 1
contemptuous, 11
officials., 1
necessity,, 6
lies!, 1
bombarded, 1
busily, 3
Perkhushkovo, 1
losses, 13
that?...", 2
happiness!", 3
drowning,, 1
necessity., 2
captors;, 1
boldest, 1
occupations, 4
marshes, 1
lies., 2
majestic, 19
lies,, 1
captors', 1
Amen.", 1
him--everything, 1
portmanteaus, 3
Masons?", 1
fall...., 1
doses, 1
pregnancies,, 2
weight, 10
infantry., 7
Grand!, 3
Dobroe, 3
lawless, 1
infantry;, 1
grumpy, 1
weighs, 3
spilt,, 1
longest, 1
thriving, 1
sportsmen., 1
retelling, 2
dispatch, 11
writes,", 1
compilers, 1
globe, 3
before...", 1
necessity;, 1
withdrawing, 3
uncalled, 1
muscle, 5
Assembly, 1
doppelkummel., 1
bush,, 2
gloat, 1
bush., 1
couples, 6
denuded, 1
vortex, 2
heiress,, 1
desecration, 1
heiress., 1
infantry!, 1
patte'n?, 1
mature, 1
infantry,, 11
unleashed., 1
amant, 1
government., 6
government-, 1
chamber,, 1
government,, 6
consent;, 1
Goliath,, 1
solicitation, 1
Goliath., 1
rapturous, 19
Hessian, 4
say.", 4
government!, 3
Touch, 1
dotage, 1
anyone),, 1
Raevskis,, 1
Vasilevich, 1
inscribe, 1
tripping, 4
chamber., 1
flank...", 1
(unless, 1
consent!, 1
dreadful!", 2
Repnin!", 1
years..., 1
satchels,, 1
anyone's, 8
Dolokhova,, 1
scale,, 1
throbbed, 1
winked,, 1
land...", 1
largest, 11
government?, 2
consent., 4
condescension., 1
stockinged, 1
government;, 2
punch,, 2
consent,, 4
ill-will, 3
untried?", 1
ambassador's?, 1
essential--would, 1
thief?", 1
workshops,, 1
flurried, 2
workshops., 1
possibilities, 3
punch., 1
Fine!, 2
bedding, 1
chintz-covered, 1
'That, 1
her--"as, 1
padded, 2
laughers, 1
it...., 10
Fine,, 1
worst--road,, 1
tinder, 1
south,, 2
shells, 8
profusion, 1
unpunished., 1
corporal, 17
reconcile, 3
scales, 2
correctly, 4
Super-Rogue's., 1
Khamovniki,, 1
it...", 4
unrolling, 1
thermometer, 2
valuable, 9
say,", 8
shrinking,, 1
Kiril., 1
anyone,", 1
Kiril,, 1
Honor.", 1
cold-shouldering, 1
Napoleon--that, 1
hindrance,, 1
most,", 1
Sevres, 2
sacks,, 1
("Sirin, 1
remorse, 7
briskness, 3
earth's, 1
burdensome, 2
"Women, 1
tact, 7
imprudent, 1
tutors,, 4
say),, 1
words--that, 2
sacks., 1
follow.", 1
unsaddling,, 1
tack, 2
L'russe, 4
Theresa, 2
spaces, 2
high--, 1
Fine, 6
compagnie!", 1
Bal-macheve.", 1
entrance., 8
choppers, 1
Thrice, 1
Sidorych...", 1
Mr., 6
high.", 1
cleaned,, 1
abuses,, 1
emitting, 3
entrance,, 5
Ahead, 1
him--but, 1
chivalry, 3
questioned., 1
sewing,, 1
entrance:, 1
ingratitude., 1
inactive, 3
overthrown..., 1
tag,, 1
Fili, 4
Russians!", 1
surrender!", 1
farther,", 2
enemy, 145
victoriously,, 1
lifelessly,, 1
epoch, 4
Semenovna,", 2
degrees, 6
troughs, 1
entrances, 1
ingratitude!, 1
consents, 1
governments, 2
human--for, 1
streamed, 5
"Woman, 1
then...", 6
Yukhnovo...", 1
busied, 2
writing--not, 1
latter., 6
out--well,, 1
service?", 1
Simon,, 3
latter,, 5
bothering, 2
latter), 1
Simon., 1
Konyusheny, 2
followers,, 1
these?", 2
perched, 2
crank,, 1
You're, 13
materials, 1
declared, 21
slope, 7
1820, 2
egotists!, 1
Mosquee, 1
day!, 1
Emperor's, 103
warmth., 1
warmth,, 1
live!..., 1
Natasha's,, 1
Natasha's., 1
unrestrained, 1
regard, 62
day), 1
flaunt, 1
meet, 101
alliance,, 1
girl!", 1
washing, 4
pillow.", 1
o'er, 1
professing, 1
"Always, 5
dawn, 9
reinstate, 1
day., 65
major's, 1
1810, 3
1811, 8
day,, 82
day;, 2
Pahlen,, 1
1812, 34
1813, 7
day:, 2
pitched, 4
YOU, 6
1815, 1
steady, 8
thundered, 2
little,", 2
parted, 11
Natasha!", 6
meek, 3
Emperors--the, 1
Jerusalem,", 1
Saturdays;, 1
closer!", 1
happier, 8
declares, 2
crouch, 1
revolves, 1
adaptations, 1
pillow,", 2
Emperor,", 5
Brothers., 2
cherish., 1
Brothers,, 3
anger,, 11
Emperor,', 1
marriage--Khvostikov,, 1
apology., 1
'Poleon, 1
anger., 5
days, 138
yawning, 1
dissuasions, 1
splinter,, 1
men--and, 1
revealed.', 1
steady,, 3
revealed.", 2
lips., 17
clothes?", 1
solitude, 12
trouble!", 1
Dussek., 1
lips,, 24
"Only,, 4
You've, 8
fire--namely,, 1
rods,, 1
Kingdom, 2
feelings),, 1
doubly, 3
Oo...!", 1
eggs..., 1
Stralsund;, 1
gleaming, 3
Emperor.", 6
humored, 2
unnaturally., 4
knows.", 1
Ordynka, 1
double, 15
mislead, 1
mallets,, 1
City,, 1
sweet!", 1
anyone...., 1
deduce, 1
unnaturally,, 1
compassionately, 2
cannon,, 10
motherly, 2
Kremenchug, 1
wheeled, 2
cannon!, 2
1809, 9
splinters, 2
completely, 34
1808, 4
1807, 5
1806, 8
1805, 9
(trademark/copyright), 1
especially, 126
reckoning., 1
wounded,", 1
mein, 1
wetweating, 1
fuel, 2
wicket, 1
alike, 12
whiteness, 3
cannon., 4
concerts, 1
onlookers, 4
still-stronger, 1
finished, 64
steal;, 1
knows,", 1
wicked, 8
eagle")., 1
headache, 3
brows, 18
cornice, 1
coin,, 1
steam), 1
brown, 8
steam,, 1
detonators, 1
adding, 8
Whether, 19
coin., 1
searchingly, 2
bit--we'll, 1
Cologne., 1
bwinging, 1
rock, 1
subside, 1
Emperor!", 6
reputation--expected, 1
rode, 215
impetus,, 1
hair..., 1
contradictions., 2
laboriously, 5
Africa,, 2
Africa., 2
ill-clad,, 1
blackish, 1
trouble.", 1
someday, 2
long?, 2
robs, 1
up...., 1
brow., 2
angel,, 1
achievement--, 1
robe, 1
scent, 7
Africa?, 1
waddled, 1
(Poniatowski's, 1
feelings.", 1
patches, 6
sufferings.", 2
regain, 5
mend, 1
flying,, 2
scene, 12
steals, 1
western, 1
"Beautiful,", 1
flying., 3
angel:, 1
angel?, 1
pupils, 3
Vesenny, 1
Beat, 1
roan, 1
Bear, 1
roar, 15
East., 1
Natasha's, 113
done!", 3
road, 113
meme, 1
Rampart, 1
long., 15
long-, 4
men?, 2
long,, 27
Pelageya, 13
"Dead,, 1
East,, 1
halt--and, 1
men;, 2
outburst,, 1
smallish, 1
outburst., 1
me--fit, 1
trading, 1
confusion,", 1
melt, 2
There--they, 1
Anisya, 14
men., 51
commotion, 1
claret-colored, 1
mysterious., 2
men,, 112
wait...., 1
mele, 1
rob,, 1
men), 1
deceived., 1
deceived,, 2
sufferings,", 1
mysterious,, 1
men!, 4
Star, 1
alien, 9
replaced,, 2
army--who, 1
oaths,, 2
laughter, 33
Hastily, 1
apron., 1
self-respect,, 1
apron,, 3
mess, 5
pupil,, 1
eight, 32
posed, 1
cannot,, 7
bedsteads, 1
Shcherbaty,, 1
focused, 2
conception., 2
little.", 1
conception,, 2
progressed, 1
Langeron's, 3
"Lads!", 2
met,, 6
mathematically., 1
reviews, 4
met., 7
match--, 1
louse,", 1
fatigued,, 1
Bourbons., 2
broad-boned,, 1
wormwood,, 2
receded,, 2
ganze, 2
Kaysarov!", 1
Moravian, 1
labor--idleness--was, 1
you--give, 1
exciting, 3
mane--, 1
judging,, 2
Dismounting, 1
wounded!", 1
cornetcy, 1
mere, 25
Natasha,", 4
Passing, 4
crazy..., 1
'Lucky, 1
conceptions, 6
Angry?, 1
pose,, 5
Black, 2
pose., 1
sedately., 2
north,, 1
life--and, 2
werden., 1
gently?", 1
errand, 1
name.", 2
aprons, 2
bedstead,, 2
weason, 1
Suffragan, 1
puzzle, 1
name,', 1
bees,, 3
broom, 3
name,", 3
bees., 2
brook, 2
regrettable, 2
brood, 4
dodge, 1
belief..., 1
impetuosity, 2
wuined, 1
accidentally, 3
spoon,, 1
Bourienne--had, 1
Natasha.", 1
alliances, 1
life--all, 1
coughed., 2
angels, 2
coughed,, 7
slander, 1
"interesting.", 1
worse., 6
practiced, 3
Alpatych!, 2
worse,, 8
mind.", 1
appear, 41
corpse., 1
necessary:, 2
extinguished,, 1
lyrical, 1
stretcher, 4
stretches, 1
"When,, 1
necessary;, 1
worse?, 1
adjutant--a, 1
melodious, 1
Frenchy,, 2
intoxication, 2
fury, 7
furs, 1
shelter, 3
appeal, 8
stretched, 15
gaitered, 1
charter, 1
gently,", 1
republican, 2
"didn't, 1
fuss, 3
Defect, 1
rewards,, 2
15/4., 1
drink!", 4
rewards., 2
inopportune, 1
favor, 18
one-ruble, 1
pectoris,, 1
beer., 1
swerving, 1
Vesenya, 1
guiding., 1
artifice, 1
Povarskoy, 2
been., 4
lively, 10
been,, 7
corpses, 6
bands..., 1
fur,, 1
premises,, 1
muzzle,, 1
events--again, 1
prose,, 1
Horribly, 1
Sukhtelen, 1
been?, 1
jokes,", 1
continuously,, 1
port--English, 1
conjugal, 1
sensitive, 5
springtime., 1
concussion, 1
trembles,, 1
documents, 2
Alpatych;, 1
medium, 8
swerved, 3
worshiped, 1
delightful!", 1
Alpatych., 15
yellowish-green, 1
necessary,, 9
printed, 8
necessary., 8
Alpatych,, 27
hay--that's, 1
Won't, 3
kissing),, 1
reasonableness, 3
wounded, 152
wigless,, 1
bowled, 1
agree?, 1
unerring, 1
unaffected, 1
descried., 3
region,, 1
Shcherbaty, 2
practical, 16
master..., 1
escaping,, 1
choleric,, 1
pouring, 2
agree., 2
Internal, 1
agree,, 1
moist, 10
amidst, 1
assault., 1
64-6221541., 1
Borodino, 61
assuming, 6
agreed, 28
document., 1
XXI, 16
derogatory, 1
"Weally!, 1
list,", 1
croups, 1
XXX, 4
Hotel., 1
scrofulous-looking, 1
Gazette,, 1
saute,, 2
XXV, 8
chiffonier, 3
sacristan, 1
acquaintance?", 1
pocket--can't, 1
considered,", 1
mistook, 1
regions, 1
pleasing, 5
charming..., 2
lives!, 1
liver,, 1
pursue, 5
enveloping, 1
gravity., 2
"Dear,, 3
practice., 1
"Where, 52
strenuous, 2
interrupted, 83
strings., 1
adoration, 4
left!", 1
liver., 1
stirring, 6
Treasury,, 1
strings,, 3
plague, 1
chanting, 3
overgrown, 5
rode., 1
XVI, 33
strength, 88
roguish, 1
gravity,, 1
once?", 5
list.", 1
neutral..., 1
London--could, 1
succumb., 1
lessening, 1
Bellowitz, 1
rode,, 5
Bezukhov!", 2
brushing, 1
softly,, 5
softly., 7
name?", 5
demand., 2
demand,, 2
wheels;, 1
"Mamma!..., 1
conscience, 9
left,", 2
doll..., 1
transmitted, 2
visitor,, 5
three-cornered, 2
lived., 1
XV,, 1
lived,, 5
wrung, 1
bombard, 1
Judging, 3
typhus?, 1
softly:, 2
cabbage, 1
Thermopylae,", 1
absent-minded., 1
absent-minded,, 2
demande, 2
Consequently,, 1
jokes!", 1
difficulty?, 1
subordination,, 2
mundane, 2
"There's, 13
PROJECT, 4
source,, 1
hacking,, 1
left.", 1
Generals, 2
cupboards., 1
irrevocability, 1
cupboards,, 1
cuffs, 1
twitched,, 2
twitched., 2
zenith, 1
self-reproach, 3
inexperience, 1
self-censure, 1
natural., 3
antagonistic, 1
mind's, 1
natural,, 3
repudiated, 1
arrange, 27
all-good,, 1
difficulty,, 6
difficulty., 8
packed,", 1
wheels,, 9
"Quite, 6
wheels., 2
tenor,, 1
twenty-year-old, 1
General;, 2
poignant, 1
posts, 6
Karay--the, 1
concerns, 1
sources, 3
General,, 4
differs, 3
windowpanes., 1
General., 2
shivers, 1
pinched,, 1
vanished--disappeared, 1
ride,, 3
Prusse?", 2
make-believes.", 1
ride., 2
adopted,", 1
Malo-Yaroslavets, 2
Bonapartist, 1
meddling, 2
nasty, 9
settled,", 4
visitors, 42
sheaves, 2
sloth, 1
rewarded, 1
queenless, 3
new...!", 1
adjacent, 3
full-grown, 2
pleasantly., 2
intoxicated, 1
frustrated, 1
Petrov?", 1
pleasantly,, 3
delightful,", 3
playmate., 1
hot..., 1
see....", 2
discernible,, 2
Auersperg, 7
repetition, 2
post?, 1
demands, 14
remarriage, 2
post;, 1
paper, 39
inhumanly, 1
timidly., 3
ruling, 4
timidly,, 9
Minister.", 1
slow,, 2
post., 7
hanging, 31
intoxicating, 1
rider, 5
post,, 7
knee-deep, 4
nervous,, 3
rides, 2
entrusts, 1
equality, 3
fun., 2
full, 153
nervous., 1
fun,, 2
crackle, 2
dramatic, 1
undoubtedly!", 1
payments., 1
congealed, 2
Bory?", 1
visitor., 11
Unpleasant..., 1
everything....", 1
attentively, 27
visitor;, 2
searches, 1
Wintzingerode, 4
horsemen., 2
facing, 25
refined,, 2
searched, 2
Aide-de-camp!..., 1
conversing., 1
covering, 15
confessed, 6
visit, 48
reformers, 1
presentable,, 1
wrathfully, 2
only...", 3
XIX, 24
XIV, 34
plain., 2
plain-, 1
mustache., 8
Who, 33
Thoughts, 3
plain,, 7
THIRTEEN:, 2
mustache,, 11
feverish, 12
relentless, 1
began, 654
coldly, 12
droned, 1
something, 479
obligingly, 1
mind!", 1
fete, 6
yard,, 9
asked, 547
Why, 82
shrugging, 13
burden., 1
plain!, 1
yard., 15
admiring, 5
permits,, 1
help..., 2
mustached, 1
lovingly., 1
friends..., 1
riotous, 3
slapping, 4
separately, 6
trembled,, 6
feu,, 1
trembled., 5
"but...", 1
dear--not, 1
fera, 3
"tongue.", 1
capitulation?", 2
candle--moved, 1
disconcerted., 2
disconcerted,, 3
boots--was, 1
lawsuit, 2
and,, 400
alive., 7
raise..., 1
administrator,, 1
donate, 1
joining, 17
postmaster,, 2
customs, 1
"ours", 1
mustaches, 7
samovar, 11
flatly, 1
embassy, 2
afterwards,, 3
thou, 19
heroic., 1
afterwards., 3
francs, 1
gushing, 1
yards, 17
solving, 2
represent, 4
solution., 1
solution,, 1
background, 2
excellency?..., 1
(Princess, 1
smashed, 4
wounds,, 3
wounds., 1
faithfully, 2
blame,", 3
intercepted, 1
merriest, 3
password?", 1
trepidation, 2
irritating, 4
Everything, 45
anteroom;, 1
'lighten, 1
anybody,", 1
yes...", 1
pecked, 1
frank,, 2
fez,, 1
"cutters-off", 1
purses, 1
S.,", 1
well..., 2
MOSCOW!, 1
disjointed, 1
anteroom., 10
Web, 3
anglaise,, 1
against, 221
anteroom,, 9
MOSCOW,, 1
lion,, 1
delicacy!", 1
epaulet, 1
innkeepers,, 1
constitution, 2
Mokhovaya, 1
atmosphere,, 2
reformer., 1
instigator, 1
"Forfeit,, 2
utmost,, 3
monarch, 6
atmosphere., 2
enough--taking, 1
mother...", 1
anybody.", 1
infinite,, 3
armies?, 1
preparations,, 1
armies;, 2
are--eternally--children, 1
Turkey,, 5
"Never, 4
roaming, 1
streamers, 2
TWO:, 2
fugitives., 1
Fr..., 1
armies,, 2
society, 64
"Everybody, 3
Turkey., 2
armies., 2
Curving, 1
landed, 3
few), 1
'twas, 3
armies!, 1
anew, 2
few,, 1
acquaintances., 3
acquaintances,, 13
gaped, 1
rejoiced, 4
anterooms, 1
XII, 35
fugitives,, 1
they, 1705
fell, 108
recognize), 1
marvels.", 1
interesting., 2
recognize,, 1
interesting,, 3
Ivanych!", 2
15y., 1
approximate, 1
blessedness, 3
educated, 10
guns--should, 1
seclusion., 1
structure, 3
evident), 1
Beatified), 1
calculations, 3
discordantly,, 1
evident,, 4
evident., 4
delivers, 1
1797, 1
Such, 17
misfortune."--"I, 1
imitate., 1
enabling, 1
earlier, 7
unmilitary, 1
considerate, 2
them, 942
then, 561
indemnify, 1
recognize., 1
suite--Count, 1
delivery, 1
anybody!", 1
thee, 4
complimented, 1
factories,, 1
Enns,, 3
lives,, 3
"Sufferer,", 1
lives., 1
occupation--such, 1
impassable., 2
country?", 1
look., 23
look,, 32
plenty, 8
look!, 5
irritated, 13
1789, 3
child's,, 1
child's., 1
akimbo,, 2
Was, 12
however,", 1
War, 16
nephews., 1
look;, 1
grasping, 8
where., 3
twansports, 1
roofless,, 1
where,, 7
merciful....", 1
wounded?", 2
tugged, 5
abandoned,, 5
wasted., 1
abandoned., 9
disregard, 2
wasted,, 1
deliver., 2
calculation,, 1
imitates, 1
separated,, 5
livery, 1
178., 1
hopeless,, 1
childwen, 1
hopeless., 1
Russia--barbaric, 1
Enns., 1
imitated, 1
acquainted, 13
hill?", 1
second, 99
necks, 3
frenzy,, 1
invalid?", 1
frenzy., 1
complacently:, 1
looks, 63
Belliard,, 1
recuperate, 1
settled?", 1
insult., 1
work...., 1
complacently,, 1
Gerard,, 2
insult,, 2
resounded., 1
ago.", 1
escort, 8
complacently., 1
sonorous,, 2
conquests, 1
Belliard., 1
theology, 2
Heaven!, 1
inviolable, 1
gentleman-in-waiting,, 3
incited, 3
alive,, 12
kissing,, 2
kissing., 1
amie,", 1
custom,, 2
alive!, 2
thin, 65
this, 1588
appreciate, 5
nourishing,, 1
recognized, 53
"Grounds, 1
well-phrased, 1
Schelling,, 2
formulated,, 1
smaller, 11
Viktorovna, 1
pillaging--, 1
Ilyin., 3
Ilyin,, 16
confessor, 1
Karagina,, 2
Lubyanka,, 1
Karagina., 3
neck., 12
vise., 1
neck,, 17
skirt--this, 1
various, 80
Ilyin;, 1
ago,", 3
colder, 1
conquest;, 1
"Soyez, 1
loneliness, 3
esteem, 6
ensnared, 1
(everybody, 1
undermining, 3
diligent, 2
freckled, 2
Bagovut's, 1
e-mail), 1
recognizes, 6
felt, 598
wedged, 2
climate,", 1
ceasing, 1
obedience,, 2
Ours., 1
Alexander's,, 1
"Mamma,, 13
Governor's, 4
thing--others, 1
squealing, 1
Bezukhova's., 1
merchants, 3
heroism, 7
contrary,", 2
crutches,, 1
Postulating, 1
wields, 1
Emperor--without, 1
review., 2
review,, 7
battery,", 1
disharmony, 1
revived, 3
ants, 3
self-conscious,, 1
Daniel's, 4
intervals, 6
favorite, 30
ridden, 31
"Mamma!, 5
stalls., 2
escapade, 2
stalls,, 3
wide-open,, 1
me?...", 1
Closing, 1
Often,, 3
"Natasha?", 1
oftenest, 2
arrivals, 4
father....", 1
mimicked, 5
semi-private,, 1
vestibule, 4
belying, 1
whether,, 2
worth,, 1
seams., 1
worth!, 1
crisis, 1
intrinsic, 1
pas!", 1
weary,, 5
uncle;, 1
worth., 1
Letting, 1
fault, 21
banquet,, 1
uncle,, 2
worrying, 4
uncle., 1
banquet., 3
worth?, 1
considerations:, 3
feat, 1
thudded, 1
prohibition, 1
fear, 78
service.", 3
noblesse, 1
Fourthly,, 1
comfortable,", 1
Zavarzinsk, 1
sprinkled., 1
arrival., 6
loose, 16
arrival,, 10
squirrel-fur, 1
any., 2
confer, 5
good-natured., 2
hastily),, 1
peacetime, 2
faut,, 1
conscious,, 1
loot,, 1
conscious., 5
INDIRECT,, 1
any?, 1
Respond,, 1
plumper, 1
confinements,, 1
unable, 94
spontaneously, 1
swiftness, 2
"Granddad.", 2
fashioned, 1
Princess;, 2
soon,, 4
Ivanych.", 1
soon., 6
worthy, 29
Princess?, 1
that, 7235
nut-and-honey, 1
Leave, 5
remembered., 2
fluttering, 4
asks:, 1
dust-stained,, 1
than, 530
irreproachable, 2
maimed, 1
Princess,, 10
memories, 19
ironical,, 2
arrival:, 1
thaw, 1
hopeless:, 1
Princess., 3
August,", 1
Orlov,, 1
obeyed, 4
Princess", 1
Princess!, 2
weaknesses, 1
shining, 21
Sobbing,, 1
infinity, 1
illiterate, 1
abundant, 1
merchant., 2
merchant-, 1
merchant,, 2
irreproachably, 2
languid,, 1
fails,, 1
yards,, 2
feed, 5
oftener., 1
Caucasus, 1
loots, 1
forefinger, 1
brightness,, 2
feel, 121
Various, 2
pregnancy., 1
cease, 23
good-natured,, 7
feet, 77
fees, 2
climax, 1
gorge!...", 1
matters.", 1
Empewah, 1
infinite, 20
organic, 1
general!..., 1
any), 1
directed, 47
Mozhaysk., 5
Mozhaysk,, 2
tortoise,, 1
tortoise), 1
Yaroslavets, 1
comrade, 11
out...., 2
interest., 3
lances, 2
Niemen.", 2
tortoise., 1
merrier,, 1
Forests, 1
out...", 1
agility, 5
vanquished., 2
simultaneously, 9
worthless., 1
looting, 6
attendance,, 2
noise...", 1
everyone., 13
compression, 1
choose, 21
everyone,, 10
vanquished,, 1
artillery, 40
antechamber,, 1
Tomorrow, 5
misdirected, 2
frantically,, 1
cannot!", 1
"Two,, 2
everyone!, 1
letter..., 1
director, 3
class--les, 1
putting, 51
impelled, 2
attached..., 1
incomprehensible--but, 1
rejoices, 2
Devils, 1
coins, 1
benevolence, 2
compressing, 2
mothers,, 1
Hence, 2
rich,, 9
expressionless, 3
you?...", 1
favoring, 1
courage., 2
overtaking, 6
knights, 3
failed, 17
persevering, 1
ushered, 1
courage,, 9
plumped, 2
feelings?", 1
Stop, 2
issued,, 1
grew., 3
issued., 1
issued:, 1
marvels!", 1
us?...", 1
tourments, 1
harmless, 1
wenches,, 1
nuisance, 4
usual;, 1
infinity,, 2
infinity., 1
repulsion,, 1
munching, 7
completed., 3
usual., 15
antechambers, 1
bwute!", 1
"Russian, 1
completed,, 1
carting., 2
purse,, 1
ago?", 1
gallant-looking, 1
"High, 1
purse., 3
usual,, 15
quand, 3
furrows,, 1
money?, 3
shaken!', 1
solutions, 1
feasible.", 1
dancing,, 11
tethered,, 1
dancing., 1
Recent, 1
knight., 1
translated, 5
immaculate, 1
money,, 25
rice,, 1
funny--bringing, 1
money., 11
doubt., 3
fortress, 2
incongruous, 2
doubt,, 11
Karagins', 3
chaffingly,, 1
pas,", 1
directly, 24
money!, 3
Wittgenstein, 2
transcription, 1
mead, 1
Karagins,, 2
service,", 1
Rugayushka!, 1
surpassed, 1
coincided, 3
gunpowder?", 1
Potier,, 1
influencing, 2
invalid.", 1
coincides, 4
mentally,, 1
Dmitrovsk., 1
secretary,, 1
interests, 34
carousals,, 1
South, 1
merely, 131
employing, 1
mentally., 1
staff--and, 1
adorning, 1
doubts, 20
omitting, 3
during, 169
service),, 1
meat, 3
people--strengthened, 1
mean, 35
squatted., 1
Ahead,, 1
meal, 2
"Encouraging, 1
Nastasya, 6
vanquished;, 1
Justinian,, 1
thee?", 2
soot., 2
organs., 1
prodigy, 1
domestic, 21
uncorded, 2
whistled,, 3
redounded, 2
whistled., 1
contralto, 1
creeping, 2
vista, 1
invalid,", 2
shedding, 3
Grekov, 4
alliance, 11
idlers, 1
you--, 1
Bonaparte's., 1
detruite,, 1
boots!", 1
deductible, 1
naughty...", 1
uneven, 5
tend, 1
parts, 20
perturbed., 1
suddenly..., 2
ice!, 1
party, 45
prince...", 1
French,", 6
these--but, 1
promoting, 3
tent, 6
tens, 7
Bonaparte's,, 1
approvingly,, 1
knapsacks, 5
substantial, 2
approvingly., 4
Mishka., 2
Mishka,, 1
germs, 1
Drive, 2
crowds, 20
drummer, 12
Gazette, 3
Headquarters, 1
you,", 78
project, 9
frames, 2
masculine, 5
crowed, 2
downy,, 1
Daughter, 1
feedeth, 1
unmade, 1
troubled,, 1
propos, 1
writing--he, 1
protection!, 2
Awkwardly, 1
ten,, 5
part;, 1
d'oeuvres, 1
youths, 1
1.E.1, 3
toyshop,, 1
French.", 3
Deprived, 1
pavilion., 1
1.E.8, 2
1.E.7, 2
knapsack., 1
(strange, 1
churches,", 1
up--and, 1
crowd,, 24
grip., 1
accountant,, 3
tell, 327
crowd), 1
protection,, 1
eprouver, 1
wide-open, 14
pillows., 3
interesting, 22
protection., 1
pillows,, 3
considers,, 1
accountant., 1
Highness.", 4
father-in-law, 1
part!, 1
sinning?...", 1
emptiness, 2
Beausset, 15
crowd., 30
knapsack!, 1
crowd:, 1
character?", 1
"whether, 1
pawing, 2
Dimmler., 1
upwards, 2
"Marry,, 1
electronic, 27
Dimmler,, 6
freshness,, 1
rupture, 7
ants;, 1
part,, 11
part., 8
crowd?, 1
police.", 1
plood!", 1
freshness., 1
prince...., 1
collects, 1
French--, 1
ants., 1
softened, 10
you'd, 10
Kutaysov, 1
Timofeevna,, 1
nursing., 1
Frola, 3
conquered, 3
implanting, 1
"Loot, 1
refute, 1
"Look, 14
faces..., 1
criticizing, 3
Berthier's, 1
comfortable!", 1
sweeter, 1
pass..., 1
birches,, 2
Highness,", 5
earning, 1
refuse, 25
patriotic, 16
(obtainable, 1
think..., 1
Mary?", 4
religious, 7
palace,", 1
"Idiot!", 1
"Long, 3
frame,, 6
campfires., 4
campfires,, 11
scrutinize, 1
promotion, 4
campfires;, 1
Army., 2
sores, 1
response, 1
jurisprudence, 4
timidity, 1
besides...", 1
chapter, 1
Army,, 1
recounted, 5
showing, 43
Epiphany., 1
assembling, 1
quarrel, 10
PUNITIVE, 1
variance, 1
poppy, 1
French),, 1
Unconsciously, 3
antipathies,", 1
bracelets,, 1
borrow., 1
frame., 3
conscience,", 2
friendship!", 1
willing!, 1
remember!", 3
Glogau,, 1
on--millions, 1
"Perched, 1
willing., 2
Those, 30
willing,, 2
falsehood,, 2
gase,", 1
Thou,, 1
falsehood., 1
started,", 1
However,", 1
